Model,Prix,Annee,Kilometrage,Boite_Vitesse,Energie,Controle_Technique,Premiere Main,Portes,Places,Puissance
MINI MINI 3 JCW 3P,47940,2024,11,Automatique,Essence,Non requis,Non,3,5,13
NISSAN QASHQAI III,31740,2024,6350,Manuelle,Essence,Non requis,Oui,5,5,7
HYUNDAI TUCSON IV,41230,2023,18810,Automatique,Hybrides,Non requis,Non,5,5,10
PORSCHE 911 TYPE 992,174790,2020,28514,Automatique,Essence,Non requis,Non,2,4,34
,174790,2020,28514,Automatique,Essence,Non requis,Non,2,4,34
TESLA MODEL S phase 2,53980,2019,62640,Automatique,Électrique,Requis,Oui,5,5,9
PEUGEOT 2008 II,29380,2023,1050,Manuelle,Essence,Non requis,Non,5,5,7
FIAT 500 X phase 2,23960,2020,68890,Automatique,Essence,Non requis,Oui,5,5,8
CITROEN C5 AIRCROSS phase 2,34160,2023,5617,Automatique,Diesel,Non requis,Oui,5,5,7
FORD FIESTA VI ACTIVE,17640,2022,39804,Manuelle,Essence,Non requis,Non,3,5,5
BMW X5 G05,73760,2020,38176,Automatique,Essence,Non requis,Oui,5,5,23
CITROEN C5 AIRCROSS phase 2,47280,2024,110,Automatique,Hybrides,Non requis,Oui,4,5,8
CITROEN C3 AIRCROSS,16810,2020,57814,Manuelle,Essence,Non requis,Oui,5,5,5
VOLVO XC60 II,65390,2021,48633,Automatique,Essence,Non requis,Non,5,5,15
PEUGEOT 108,14530,2021,13598,Manuelle,Essence,Non requis,Non,5,4,4
OPEL CORSA VI,21390,2022,35142,Manuelle,Essence,Non requis,Oui,5,5,5
,21390,2022,35142,Manuelle,Essence,Non requis,Oui,5,5,5
MERCEDES CLASSE C V,58830,2023,9992,Automatique,Hybrides,Non requis,Oui,5,5,11
PEUGEOT 5008 II phase 2,52060,2022,22940,Automatique,Essence,Non requis,Non,5,7,10
PEUGEOT E-2008 II,36270,2024,1120,Automatique,Électrique,Non requis,Oui,5,5,4
PEUGEOT 3008 II,23110,2019,139869,Manuelle,Diesel,Requis,Non,5,5,6
RENAULT CLIO 5,22430,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
,22430,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
AUDI Q5 II,65210,2021,30912,Automatique,Diesel,Non requis,Oui,5,5,11
RENAULT CLIO V,22660,2023,16344,Automatique,Essence,Non requis,Non,5,5,5
MAZDA CX-5 II phase 2,33170,2022,40612,Manuelle,Diesel,Non requis,Non,5,5,8
RENAULT MEGANE IV phase 2,16380,2021,86466,Automatique,Diesel,Non requis,Oui,5,5,6
RENAULT ZOE phase 2,12850,2019,82213,Automatique,Électrique,Requis,Non,5,5,2
PEUGEOT 2008 phase 2,16780,2019,87497,Manuelle,Diesel,Requis,Non,5,5,4
AUDI Q2 phase 2,43220,2023,20897,Automatique,Essence,Non requis,Oui,5,5,8
MERCEDES GLC COUPE phase 2,58110,2021,82880,Automatique,Diesel,Non requis,Non,5,5,11
RENAULT SCENIC IV,16940,2020,108899,Manuelle,Diesel,Non requis,Oui,5,5,6
HYUNDAI IONIQ phase 2,24370,2020,32004,Automatique,Hybrides,Non requis,Non,5,5,5
CUPRA FORMENTOR,35180,2023,27121,Automatique,Essence,Non requis,Oui,5,5,8
,35180,2023,27121,Automatique,Essence,Non requis,Oui,5,5,8
HYUNDAI KONA phase 2,34110,2022,24780,Automatique,Électrique,Non requis,Non,5,5,1
DACIA SANDERO 3 STEPWAY,19340,2022,31823,Manuelle,Bicarburation essence / gpl,Non requis,Oui,5,5,5
PORSCHE MACAN phase 2,69530,2020,31030,Automatique,Essence,Non requis,Oui,5,5,15
LAND ROVER RANGE ROVER EVOQUE II,43980,2020,31030,Automatique,Essence,Non requis,Non,5,5,8
PEUGEOT E-208 II,28170,2022,44885,Automatique,Électrique,Non requis,Non,5,5,4
,28170,2022,44885,Automatique,Électrique,Non requis,Non,5,5,4
TESLA MODEL 3,47440,2022,50221,Automatique,Électrique,Non requis,Oui,5,5,11
FIAT 500 (3E GENERATION),18000,2024,11,Manuelle,Hybrides,Non requis,Non,3,5,4
AUDI SQ8,116520,2021,78089,Automatique,Diesel,Non requis,Oui,5,5,32
RENAULT CAPTUR II,24860,2022,57645,Automatique,Essence,Non requis,Oui,5,5,7
HYUNDAI KONA,21040,2020,42937,Manuelle,Diesel,Non requis,Oui,5,5,6
RENAULT CLIO IV phase 2,17230,2019,74512,Automatique,Diesel,Requis,Oui,5,5,5
VOLVO XC90 II phase 2,83100,2020,3876,Automatique,Hybrides,Non requis,Non,5,7,17
PEUGEOT 3008 II phase 2,39660,2022,38039,Automatique,Diesel,Non requis,Non,5,5,7
CITROEN C3 III phase 2,16500,2021,33552,Manuelle,Essence,Non requis,Oui,5,5,4
PORSCHE CAYENNE III COUPE,149980,2023,16250,Automatique,Hybrides,Non requis,Oui,5,5,22
VOLKSWAGEN T-CROSS,26610,2023,16095,Manuelle,Essence,Non requis,Oui,5,5,6
,26610,2023,16095,Manuelle,Essence,Non requis,Oui,5,5,6
OPEL ADAM,13110,2019,104375,Manuelle,Essence,Non requis,Non,3,4,5
NISSAN X-TRAIL 4,25700,2020,101777,Manuelle,Diesel,Non requis,Non,5,4,8
CITROEN C3 III,20860,2020,18222,Automatique,Essence,Non requis,Non,5,5,6
PEUGEOT 3008 II phase 2,39980,2023,11303,Automatique,Diesel,Non requis,Non,5,5,7
PEUGEOT 2008 II,33300,2022,2000,Manuelle,Diesel,Non requis,Non,5,5,6
,33300,2022,2000,Manuelle,Diesel,Non requis,Non,5,5,6
PORSCHE MACAN phase 2,88420,2020,42809,Automatique,Essence,Non requis,Non,5,5,25
RENAULT CAPTUR II,27730,2023,5360,Automatique,Essence,Non requis,Non,5,5,7
PEUGEOT 208 II,32380,2023,1660,Automatique,Essence,Non requis,Oui,5,5,7
BMW X1 F48 phase 2,39580,2021,48240,Automatique,Hybrides,Non requis,Non,5,5,6
JAGUAR F-PACE,95980,2020,62755,Automatique,Essence,Non requis,Oui,5,5,47
PEUGEOT 208 II,29940,2023,3799,Automatique,Essence,Non requis,Non,5,5,5
RENAULT KADJAR,34680,2023,25781,Automatique,Essence,Non requis,Non,5,5,7
OPEL GRANDLAND X,26630,2020,29960,Automatique,Essence,Non requis,Oui,5,5,10
FORD RANGER III phase 2,39940,2020,27000,Automatique,Diesel,Non requis,Non,2,4,11
VOLKSWAGEN PASSAT 8 SW,25510,2019,82955,Manuelle,Diesel,Requis,Oui,5,4,8
MERCEDES EQA,48360,2022,71240,Automatique,Électrique,Non requis,Non,5,5,6
,48360,2022,71240,Automatique,Électrique,Non requis,Non,5,5,6
CITROEN GRAND C4 SPACETOURER,27010,2022,42843,Manuelle,Diesel,Non requis,Non,5,7,7
BMW X5 G05,76180,2022,36551,Automatique,Hybrides,Non requis,Oui,5,5,17
PEUGEOT 308 II phase 2,23190,2022,31773,Manuelle,Essence,Non requis,Oui,5,5,6
RENAULT CLIO IV SOCIETE phase 2,12180,2020,55957,Manuelle,Diesel,Non requis,Oui,5,2,4
DACIA JOGGER,29630,2024,12,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,7,5
,29630,2024,12,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,7,5
MERCEDES GLA II,61820,2023,2412,Automatique,Hybrides,Non requis,Non,5,5,8
PEUGEOT 2008 II,29140,2022,77066,Automatique,Diesel,Non requis,Non,5,5,7
OPEL CORSA VI,22610,2022,52584,Automatique,Essence,Non requis,Oui,5,5,5
SEAT ARONA phase 2,23230,2023,6523,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 308 III,33810,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
PEUGEOT RIFTER,31350,2022,28693,Manuelle,Diesel,Non requis,Non,5,5,5
AUDI SQ5 II,58980,2019,39672,Automatique,Essence,Non requis,Oui,5,5,24
VOLKSWAGEN POLO VI phase 2,24810,2023,31204,Automatique,Essence,Non requis,Oui,5,5,5
AUDI RS3 II SPORTBACK phase 2,59930,2020,47524,Automatique,Essence,Non requis,Oui,5,5,29
RENAULT CLIO 5,22010,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
MERCEDES-AMG GT phase 2,183640,2020,16590,Automatique,Essence,Non requis,Non,3,2,48
,183640,2020,16590,Automatique,Essence,Non requis,Non,3,2,48
NISSAN TOWNSTAR,41310,2023,2460,Automatique,Électrique,Non requis,Oui,4,3,8
FIAT 500 III,25110,2024,2,Automatique,Électrique,Non requis,Non,3,7,3
PEUGEOT 5008 II phase 2,47100,2023,13020,Automatique,Diesel,Non requis,Oui,5,7,7
LAND ROVER RANGE ROVER EVOQUE II,46590,2022,88070,Automatique,Diesel,Non requis,Oui,5,5,9
VOLKSWAGEN TAIGO,33020,2023,12390,Automatique,Essence,Non requis,Oui,5,5,6
,33020,2023,12390,Automatique,Essence,Non requis,Oui,5,5,6
NISSAN QASHQAI II phase 2,24770,2020,70897,Manuelle,Diesel,Non requis,Non,5,5,8
SEAT ARONA phase 2,21640,2023,9412,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN GOLF 7,23580,2020,84846,Automatique,Diesel,Non requis,Oui,5,5,6
RENAULT CLIO V,17830,2020,57020,Manuelle,Essence,Non requis,Oui,5,5,5
RENAULT CLIO IV phase 2,15590,2020,77061,Manuelle,Essence,Non requis,Non,5,5,5
MAZDA MX5 IV ST,29730,2020,41619,Manuelle,Essence,Non requis,Oui,2,2,10
PEUGEOT RIFTER,36200,2024,11,Automatique,Diesel,Non requis,Non,5,5,5
PEUGEOT 208 (2E GENERATION),25260,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT ZOE,10280,2019,108256,Automatique,Électrique,Non requis,Oui,5,2,1
PEUGEOT 5008 II,30330,2021,117453,Automatique,Essence,Non requis,Non,5,7,10
MINI MINI 3 3P,32670,2022,14475,Automatique,Essence,Non requis,Non,5,7,7
,32670,2022,14475,Automatique,Essence,Non requis,Non,5,7,7
CITROEN C5 AIRCROSS,30920,2023,18919,Manuelle,Essence,Non requis,Oui,5,5,7
PORSCHE 911 TYPE 992,199870,2020,54875,Automatique,Essence,Non requis,Non,2,4,34
VOLKSWAGEN POLO VI,21260,2022,55989,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT TRAVELLER,34480,2019,92505,Manuelle,Diesel,Non requis,Non,4,5,6
PORSCHE MACAN,93390,2019,31350,Automatique,Essence,Non requis,Non,5,5,33
,93390,2019,31350,Automatique,Essence,Non requis,Non,5,5,33
VOLKSWAGEN TIGUAN 2,39340,2020,67709,Automatique,Diesel,Non requis,Oui,5,5,8
OPEL CORSA VI,33330,2024,6900,Automatique,Électrique,Non requis,Oui,5,5,4
AUDI A3 IV SPORTBACK,43570,2022,28875,Automatique,Hybrides,Non requis,Oui,5,5,8
CITROEN C4 CACTUS phase 2,16400,2019,86994,Manuelle,Essence,Requis,Oui,5,5,5
OPEL CROSSLAND X,18530,2021,47252,Manuelle,Essence,Non requis,Non,5,5,6
SEAT ATECA,43650,2024,11,Automatique,Diesel,Non requis,Non,5,5,8
OPEL CORSA VI,26020,2023,7978,Manuelle,Diesel,Non requis,Non,5,5,5
AUDI Q5 II phase 2,68730,2021,32786,Automatique,Hybrides,Non requis,Non,5,5,15
DS 3 CROSSBACK,25570,2020,83281,Automatique,Diesel,Non requis,Oui,5,5,6
FIAT 500 (2E GENERATION),12920,2021,51014,Manuelle,Hybrides,Non requis,Non,3,5,4
DACIA DUSTER II phase 2,24300,2024,11,Manuelle,Essence,Non requis,Non,5,5,7
,24300,2024,11,Manuelle,Essence,Non requis,Non,5,5,7
OPEL CROSSLAND phase 2,27670,2023,3390,Manuelle,Essence,Non requis,Non,5,5,6
PORSCHE 718 BOXSTER,81140,2020,69599,Manuelle,Essence,Non requis,Non,2,2,19
RENAULT TRAFIC III phase 2,32980,2022,17211,Manuelle,Diesel,Non requis,Oui,4,3,7
AUDI Q5 (2E GENERATION) SPORTBACK,66130,2022,14476,Automatique,Hybrides,Non requis,Non,5,3,16
AUDI Q7 II,78330,2019,52552,Automatique,Diesel,Requis,Non,5,7,18
,78330,2019,52552,Automatique,Diesel,Requis,Non,5,7,18
CUPRA BORN,37180,2023,11100,Automatique,Électrique,Non requis,Oui,5,5,5
MERCEDES CLASSE V II COMPACT,74350,2019,38850,Automatique,Diesel,Non requis,Non,4,6,11
MINI III CABRIOLET JCW phase 2,41230,2020,27484,Automatique,Essence,Non requis,Oui,2,4,13
PEUGEOT 3008 II,55420,2021,5036,Automatique,Hybrides,Non requis,Oui,5,5,9
AUDI A3 (3E GENERATION) SPORTBACK,23290,2019,66461,Manuelle,Diesel,Non requis,Oui,5,5,6
BMW SERIE 3 F30 phase 2,34390,2020,97656,Automatique,Essence,Non requis,Non,4,5,10
PORSCHE 911 TYPE 992,206380,2020,29500,Automatique,Essence,Non requis,Non,2,4,34
FIAT FIORINO IV FOURGON phase 2,24980,2024,3750,Manuelle,Diesel,Non requis,Non,4,2,5
DS 3 CROSSBACK,38920,2023,12,Automatique,Diesel,Non requis,Non,5,5,7
MINI COUNTRYMAN 2,28880,2020,74917,Manuelle,Diesel,Non requis,Non,5,5,8
AUDI A1 SPORTBACK phase 2,17000,2019,94288,Manuelle,Essence,Non requis,Oui,5,4,4
,17000,2019,94288,Manuelle,Essence,Non requis,Oui,5,4,4
PEUGEOT 3008 II phase 2,37780,2023,9606,Automatique,Diesel,Non requis,Oui,5,5,7
PORSCHE CAYENNE III,120870,2020,36519,Automatique,Hybrides,Non requis,Non,5,5,20
PEUGEOT 208 II,24130,2021,52690,Automatique,Essence,Non requis,Non,5,5,5
RENAULT CAPTUR II,27510,2023,7696,Automatique,Essence,Non requis,Non,5,5,7
AUDI RS3 III SPORTBACK,104530,2022,43050,Automatique,Essence,Non requis,Non,5,5,28
,104530,2022,43050,Automatique,Essence,Non requis,Non,5,5,28
PEUGEOT 308 II phase 2,22960,2020,57410,Automatique,Essence,Non requis,Oui,5,5,6
SUBARU XV II,38420,2021,76073,Automatique,Hybrides,Non requis,Non,5,5,8
AUDI Q5 (2E GENERATION) SPORTBACK,88040,2022,24583,Automatique,Hybrides,Non requis,Non,5,5,16
AUDI A4 V AVANT phase 3,31010,2020,118123,Automatique,Diesel,Non requis,Oui,5,5,10
CITROEN C3 III,12060,2020,83183,Manuelle,Essence,Non requis,Oui,5,5,4
LEXUS UX,31890,2021,43507,Automatique,Hybrides,Non requis,Oui,5,5,7
MERCEDES CLASSE A 4,37470,2020,82359,Automatique,Essence,Non requis,Oui,5,5,11
OPEL ASTRA VI,41730,2024,1,Automatique,Hybrides,Non requis,Oui,5,5,8
AUDI Q3 II,35290,2021,79915,Automatique,Diesel,Non requis,Non,5,5,8
VOLKSWAGEN TIGUAN 2,39670,2020,46817,Automatique,Diesel,Non requis,Oui,5,5,8
FIAT 500 II phase 2,12290,2019,35736,Manuelle,Essence,Requis,Oui,3,4,4
,12290,2019,35736,Manuelle,Essence,Requis,Oui,3,4,4
AUDI RS4 V AVANT,91140,2020,55456,Automatique,Essence,Non requis,Non,5,5,34
FORD RANGER III phase 2,34500,2020,73787,Manuelle,Diesel,Non requis,Non,2,4,7
CITROEN C3 AIRCROSS phase 2,26640,2023,12,Manuelle,Essence,Non requis,Non,5,5,6
VOLKSWAGEN POLO 6,22560,2022,22663,Automatique,Essence,Non requis,Non,5,5,5
LAND ROVER RANGE ROVER IV phase 2,89790,2020,99290,Automatique,Hybrides,Non requis,Oui,5,5,17
,89790,2020,99290,Automatique,Hybrides,Non requis,Oui,5,5,17
OPEL CORSA VI,25860,2021,21636,Automatique,Électrique,Non requis,Non,5,5,4
VOLVO V60 II CROSS COUNTRY,45340,2020,51840,Automatique,Diesel,Non requis,Oui,5,5,10
RENAULT CLIO 5,24070,2023,25,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,5,5
MAZDA CX-30,28600,2022,56698,Manuelle,Essence,Non requis,Oui,5,5,10
PEUGEOT 5008 II phase 2,44440,2023,9373,Manuelle,Diesel,Non requis,Non,5,7,7
RENAULT CAPTUR 2,26880,2024,11,Manuelle,Essence,Non requis,Non,5,7,5
DS DS 9,45180,2022,50624,Automatique,Hybrides,Non requis,Non,4,7,10
VOLKSWAGEN TIGUAN 2,34850,2020,25868,Manuelle,Diesel,Non requis,Oui,5,7,8
PEUGEOT 2008 II,28230,2020,9686,Automatique,Essence,Non requis,Oui,5,5,8
SEAT ARONA phase 2,25300,2023,19651,Manuelle,Essence,Non requis,Non,5,5,6
PEUGEOT 208 (2E GENERATION),20250,2023,16407,Manuelle,Essence,Non requis,Non,5,5,4
,20250,2023,16407,Manuelle,Essence,Non requis,Non,5,5,4
PEUGEOT 3008 II,22300,2019,94320,Automatique,Essence,Non requis,Oui,5,5,7
BMW X4 F26,43560,2019,80122,Automatique,Diesel,Requis,Oui,5,5,10
RENAULT CLIO 5,20120,2022,15920,Manuelle,Essence,Non requis,Non,5,5,5
BMW SERIE 5 G30,43760,2019,64197,Automatique,Diesel,Requis,Non,4,5,15
VOLKSWAGEN CARAVELLE VI phase 2,55870,2022,22277,Automatique,Diesel,Non requis,Oui,4,9,8
,55870,2022,22277,Automatique,Diesel,Non requis,Oui,4,9,8
PEUGEOT 3008 II phase 2,41740,2023,12,Automatique,Essence,Non requis,Non,5,5,7
BMW SERIE 3 F31 TOURING,23500,2020,77012,Manuelle,Diesel,Non requis,Oui,5,5,6
BMW X5 F15,38400,2019,112307,Automatique,Diesel,Non requis,Oui,5,5,13
OPEL CROSSLAND X,19060,2020,57199,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 5008 II,27810,2019,147045,Automatique,Diesel,Non requis,Oui,5,7,9
RENAULT CAPTUR II,22280,2022,75842,Automatique,Diesel,Non requis,Oui,5,5,6
BMW SERIE 1 F20 5 PORTES phase 2,19870,2019,77146,Manuelle,Diesel,Non requis,Non,5,5,5
PEUGEOT 308 II SW phase 2,16680,2020,91962,Automatique,Diesel,Non requis,Non,5,5,6
VOLVO XC60 II phase 2,41610,2021,138969,Automatique,Hybrides,Non requis,Non,5,5,20
VOLKSWAGEN POLO VI phase 2,25900,2023,5940,Automatique,Essence,Non requis,Oui,5,5,5
NISSAN QASHQAI II phase 2,23820,2020,48017,Manuelle,Diesel,Non requis,Non,5,5,8
,23820,2020,48017,Manuelle,Diesel,Non requis,Non,5,5,8
MERCEDES CLA II,44340,2021,59553,Automatique,Diesel,Non requis,Non,4,5,7
VOLKSWAGEN TRANSPORTER VI,54430,2019,77078,Automatique,Diesel,Requis,Non,4,5,7
NISSAN QASHQAI 3,39000,2022,57711,Automatique,Hybrides,Non requis,Non,5,5,8
CITROEN C3 III phase 2,22660,2023,18099,Automatique,Essence,Non requis,Non,5,5,6
VOLKSWAGEN TRANSPORTER V,29870,2020,147670,Manuelle,Diesel,Non requis,Oui,4,2,7
,29870,2020,147670,Manuelle,Diesel,Non requis,Oui,4,2,7
DS 3 CROSSBACK,25190,2022,34910,Manuelle,Diesel,Non requis,Non,5,5,6
DACIA SANDERO 3 STEPWAY,18280,2023,23173,Manuelle,Essence,Non requis,Non,5,5,5
DS 7 CROSSBACK,38110,2019,106300,Automatique,Diesel,Requis,Oui,5,5,9
CITROEN C3 III phase 2,15210,2023,5224,Manuelle,Essence,Non requis,Oui,5,5,4
BMW X1 U11,40080,2023,17510,Automatique,Essence,Non requis,Non,5,5,7
MINI III 3P,32090,2021,27579,Automatique,Électrique,Non requis,Oui,5,4,3
PEUGEOT 3008 II phase 2,40550,2022,54463,Automatique,Hybrides,Non requis,Oui,5,5,11
NISSAN QASHQAI II phase 2,21600,2019,35946,Manuelle,Diesel,Non requis,Oui,5,5,6
VOLKSWAGEN T-ROC,23920,2020,71792,Manuelle,Essence,Non requis,Non,5,5,6
KIA E-NIRO phase 2,30410,2021,61164,Automatique,Électrique,Non requis,Non,5,5,1
PEUGEOT 308 II phase 2,17030,2019,54287,Manuelle,Essence,Requis,Oui,5,5,6
,17030,2019,54287,Manuelle,Essence,Requis,Oui,5,5,6
VOLKSWAGEN GOLF VII SW phase 2,27980,2021,69201,Automatique,Diesel,Non requis,Non,5,5,8
RENAULT AUSTRAL,42010,2024,11,Automatique,Essence,Non requis,Non,5,5,8
RENAULT KADJAR phase 2,23780,2020,62658,Automatique,Diesel,Non requis,Oui,5,5,6
CHEVROLET CORVETTE C8 STINGRAY TARGA,140500,2023,22,Automatique,Essence,Non requis,Oui,2,2,38
BMW SERIE 5 G31 TOURING,40580,2020,112820,Automatique,Diesel,Non requis,Non,5,5,10
,40580,2020,112820,Automatique,Diesel,Non requis,Non,5,5,10
PEUGEOT 208 phase 2,20380,2020,42600,Automatique,Essence,Non requis,Oui,5,5,6
VOLKSWAGEN GOLF VII phase 2,36140,2021,34467,Automatique,Hybrides,Non requis,Oui,5,5,8
CITROEN C5 AIRCROSS,45760,2022,16620,Automatique,Hybrides,Non requis,Non,5,5,10
AUDI A6 V AVANT,49930,2022,49564,Automatique,Diesel,Non requis,Oui,5,5,11
RENAULT KADJAR,16540,2019,117424,Manuelle,Diesel,Requis,Non,5,5,5
VOLKSWAGEN GOLF 8,37930,2021,27538,Automatique,Hybrides,Non requis,Oui,5,5,8
PEUGEOT 2008 II,26020,2021,123255,Automatique,Diesel,Non requis,Oui,5,5,7
FIAT PANDA III phase 2,16500,2022,26843,Manuelle,Essence,Non requis,Oui,5,5,4
OPEL ASTRA V phase 2,20150,2022,47765,Automatique,Diesel,Non requis,Oui,5,5,6
NISSAN QASHQAI II phase 2,21780,2021,66272,Manuelle,Diesel,Non requis,Non,5,5,6
PEUGEOT 308 II phase 2,35920,2023,11160,Automatique,Diesel,Non requis,Non,5,5,7
,35920,2023,11160,Automatique,Diesel,Non requis,Non,5,5,7
CITROEN C5 AIRCROSS phase 2,38590,2023,12,Automatique,Essence,Non requis,Non,5,5,7
PEUGEOT RIFTER,25070,2022,51208,Manuelle,Diesel,Non requis,Non,5,5,5
PORSCHE 911 TYPE 992,189720,2020,32657,Automatique,Essence,Non requis,Non,2,4,34
DACIA DUSTER II,25500,2023,10011,Manuelle,Diesel,Non requis,Oui,5,5,6
ALFA ROMEO STELVIO,54870,2022,9900,Automatique,Diesel,Non requis,Oui,5,5,10
,54870,2022,9900,Automatique,Diesel,Non requis,Oui,5,5,10
AUDI A3 IV SPORTBACK,41010,2022,22760,Automatique,Hybrides,Non requis,Oui,5,5,8
FORD KUGA II phase 2,26880,2020,81461,Manuelle,Bicarburation essence bioéthanol,Non requis,Oui,5,5,9
PEUGEOT 208 II,26520,2024,1070,Manuelle,Diesel,Non requis,Oui,5,5,5
AUDI A4 V,28840,2020,90585,Automatique,Diesel,Non requis,Oui,4,5,7
DACIA DUSTER 2,28200,2023,12,Manuelle,Essence,Non requis,Non,5,5,8
CITROEN C3 III phase 2,15500,2023,10595,Manuelle,Essence,Non requis,Oui,5,5,4
VOLKSWAGEN POLO VI phase 2,29100,2024,4480,Automatique,Essence,Non requis,Oui,5,5,6
PEUGEOT 508 (2E GENERATION) SW,36280,2020,51338,Automatique,Essence,Non requis,Non,5,5,12
RENAULT MASTER III,22790,2020,133818,Manuelle,Diesel,Non requis,Oui,2,3,8
PEUGEOT 208 II,18240,2022,24242,Manuelle,Essence,Non requis,Oui,5,5,4
PEUGEOT 208 II,25810,2023,12,Manuelle,Diesel,Non requis,Non,5,5,5
,25810,2023,12,Manuelle,Diesel,Non requis,Non,5,5,5
MERCEDES GLC phase 2,66280,2021,51046,Automatique,Diesel,Non requis,Non,5,5,14
PEUGEOT 308 III SW,38060,2024,1190,Automatique,Essence,Non requis,Oui,4,5,7
JEEP AVENGER,43700,2024,3219,Automatique,Électrique,Non requis,Oui,5,5,4
LAND ROVER RANGE ROVER SPORT II phase 2,73480,2021,72135,Automatique,Hybrides,Non requis,Non,5,5,17
PEUGEOT 208 II,24400,2022,42514,Manuelle,Essence,Non requis,Non,5,5,5
,24400,2022,42514,Manuelle,Essence,Non requis,Non,5,5,5
FIAT 500 II phase 2,15030,2022,51570,Manuelle,Essence,Non requis,Non,3,4,4
RENAULT TRAFIC III phase 2,37140,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
VOLKSWAGEN TIGUAN II,29930,2020,102642,Automatique,Diesel,Non requis,Oui,5,5,11
PEUGEOT 2008 II,23380,2021,23985,Manuelle,Essence,Non requis,Non,5,5,5
FIAT DUCATO III,22560,2020,72369,Manuelle,Diesel,Non requis,Oui,4,3,7
RENAULT GRAND SCENIC IV,19690,2021,118165,Automatique,Essence,Non requis,Oui,5,7,7
SEAT ARONA,29240,2023,11158,Automatique,Essence,Non requis,Non,5,7,6
VOLKSWAGEN POLO 6 GTI,28030,2021,17551,Automatique,Essence,Non requis,Oui,5,7,11
AUDI E-TRON,78750,2022,17645,Automatique,Électrique,Non requis,Oui,5,5,9
PORSCHE 911 TYPE 992,208560,2021,6660,Automatique,Essence,Non requis,Non,2,4,34
AUDI A3 IV SPORTBACK,43940,2023,16295,Automatique,Diesel,Non requis,Oui,5,5,8
,43940,2023,16295,Automatique,Diesel,Non requis,Oui,5,5,8
RENAULT CLIO V,16180,2022,18179,Manuelle,Essence,Non requis,Oui,5,5,4
CITROEN JUMPY III FOURGON,36840,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
RENAULT EXPRESS II VAN,21040,2022,19583,Manuelle,Diesel,Non requis,Oui,5,2,5
OPEL VIVARO III,22030,2021,88305,Manuelle,Diesel,Non requis,Oui,4,3,5
PORSCHE CAYENNE III COUPE,124870,2021,46250,Automatique,Hybrides,Non requis,Oui,5,5,22
,124870,2021,46250,Automatique,Hybrides,Non requis,Oui,5,5,22
VOLKSWAGEN GOLF VII phase 2,15730,2020,118659,Manuelle,Diesel,Non requis,Non,5,2,6
RENAULT ZOE,28790,2022,15706,Automatique,Électrique,Non requis,Non,5,2,4
AUDI RS Q8,173480,2022,49342,Automatique,Essence,Non requis,Non,5,5,53
VOLKSWAGEN T-ROC,27420,2021,88903,Automatique,Diesel,Non requis,Oui,5,5,8
PORSCHE 911 TYPE 991 TARGA phase 2,194760,2019,31920,Automatique,Essence,Non requis,Non,2,4,34
PEUGEOT 308 II phase 2,19260,2021,36366,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT 208 II,17330,2022,117720,Manuelle,Diesel,Non requis,Non,5,5,5
AUDI Q5 II phase 2,58840,2023,18279,Automatique,Diesel,Non requis,Oui,5,5,9
RENAULT KADJAR phase 2,20010,2021,65371,Automatique,Essence,Non requis,Non,5,5,7
PEUGEOT 2008 II,27670,2023,8813,Manuelle,Essence,Non requis,Non,5,5,7
RENAULT SCENIC IV,18170,2020,73999,Manuelle,Diesel,Non requis,Oui,5,5,6
,18170,2020,73999,Manuelle,Diesel,Non requis,Oui,5,5,6
PEUGEOT 208 II,25060,2023,21364,Manuelle,Diesel,Non requis,Oui,5,5,5
AUDI A4 V AVANT phase 3,44050,2022,55370,Automatique,Diesel,Non requis,Non,5,5,10
PEUGEOT 508 II SW,26020,2020,71672,Automatique,Diesel,Non requis,Oui,5,5,6
RENAULT CLIO V,12610,2021,72600,Manuelle,Diesel,Non requis,Oui,5,5,4
SEAT IBIZA V,13620,2022,196862,Manuelle,Diesel,Non requis,Oui,5,2,5
,13620,2022,196862,Manuelle,Diesel,Non requis,Oui,5,2,5
CITROEN C3 AIRCROSS,16630,2019,75615,Manuelle,Essence,Requis,Non,5,5,6
MERCEDES GLC COUPE phase 2,57730,2020,53350,Automatique,Hybrides,Non requis,Non,5,5,16
AUDI A4 (5E GENERATION) AVANT,34780,2020,88962,Automatique,Diesel,Non requis,Oui,5,5,10
PEUGEOT 3008 II phase 2,47560,2023,12,Automatique,Essence,Non requis,Non,5,5,7
